,Director,Country,Birth year
422,Naoko Yamada,Japon,1980
423,Oriol Paulo,España,1965
424,Xavier Dolan,Canadá,1989
425,Vishal Bhardwaj,India,1965
426,James Mangold,Estados Unidos,1963
427,Lenny Abrahamson,Irlanda,1966
428,Damián Szifron,Argentina,1975
429,Nuri Bilge Ceylan,Turquía,1959
430,Umesh Shukla,India,1969
431,Wes Anderson,Estados Unidos,1969
432,Mamoru Hosoda,Japon,1967
433,Anurag Basu,India,1974
434,Steve McQueen,Reino Unido,1969
435,Tom McCarthy,Estados Unidos,1966
436,Tomm Moore,Irlanda,1977
437,Sujoy Ghosh,India,1968
438,Zoya Akhtar,India,1972
439,George Miller,Australia,1945
440,Neeraj Pandey,India,1973
441,David Yates,Inglaterra,1963
442,Yôjirô Takita,Japon,1955
443,Lasse Hallström,Suecia,1946
444,Adam Elliot,Australia,1972
445,Dean DeBlois,Canadá,1970
446,Sean Penn,Estados Unidos,1960
447,Ethan Coen,Estados Unidos,1957
448,Terry George,Irlanda,1952
449,Je-kyu Kang,Corea del Sur,1962
450,Richard Linklater,Estados Unidos,1960
451,Farhan Akhtar,India,1974
452,Alejandro G. Iñárritu,México,1963
453,Hideaki Anno,Japon,1960
454,M. Night Shyamalan,India,1970
455,Peter Weir,Australia,1944
456,Joel Coen,Estados Unidos,1954
457,Kar-Wai Wong,Hong Kong,1958
458,Danny Boyle,Inglaterra,1956
459,Mathieu Kassovitz,Francia,1967
460,Aditya Chopra,India,1971
461,Krzysztof Kieslowski,Polonia,1941
462,Jim Sheridan,Irlanda,1949
463,Kaige Chen,China,1952
464,Yimou Zhang,China,1950
465,Rob Reiner,Estados Unidos,1947
466,Oliver Stone,Estados Unidos,1946
467,Wim Wenders,Alemania,1945
468,John Carpenter,Estados Unidos,1948
469,Alan Parker,Inglaterra,1944
470,Werner Herzog,Alemania,1942
471,David Lynch,Estados Unidos,1946
472,Terry Jones,Inglaterra,1942
473,Michael Cimino,Estados Unidos,1939
474,John G. Avildsen,Estados Unidos,1935
475,Peter Bogdanovich,Estados Unidos,1939
476,Jean-Pierre Melville,Francia,1917
477,Stuart Rosenberg,Estados Unidos,1927
478,Gillo Pontecorvo,Italia,1919
479,Luis Buñuel,México,1900
480,Robert Aldrich,Estados Unidos,1918
481,John Ford,Estados Unidos,1894
482,François Truffaut,Francia,1932
483,William Wyler,Francia,1902
484,Federico Fellini,Italia,1920
485,Elia Kazan,Estados Unidos,1909
486,Henri-Georges Clouzot,Francia,1907
487,Raoul Walsh,Estados Unidos,1887
488,Carol Reed,Inglaterra,1906
489,Michael Powell,Inglaterra,1905
